ISO,COD-AB URL,COD-AB level,COD-AB contributor,COD-AB description,COD-AB ADM1 units,COD-AB ADM2 units,COD-AB ADM3 units,COD-AB ADM4 units
SXM,https://data.humdata.org/dataset/cod-ab-sxm,cod-enhanced,OCHA Field Information Services Section (FISS),"Sint Maarten (Dutch part) administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from Sint Maarten Ministry of Public Housing, Spatial Planning, Environment and Infrastructure (VROMI)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Sint Maarten (Dutch part) [COD-PS](https://data.humdata.org/dataset/cod-ps-sxm).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-sxm).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 8 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",8,,,
SVK,https://data.humdata.org/dataset/cod-ab-svk,cod-enhanced,OCHA Field Information Services Section (FISS),"Slovakia administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from Geoportal.SK

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Slovakia [COD-PS](https://data.humdata.org/dataset/cod-ps-svk).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-svk).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 8 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 79 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  Europe Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",8,79,,
SLB,https://data.humdata.org/dataset/cod-ab-slb,cod-standard,OCHA Regional Office for Asia and the Pacific (ROAP),"Solomon Islands administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2018

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Solomon Islands National Statistics Office (SINSO), 2009 Census of Population and Housing	

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Solomon Islands [COD-PS](https://data.humdata.org/dataset/cod-ps-slb).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 10 feature(s).  The normal administrative level 1 feature type is """"Province or Capital Territory"""".

Administrative level 2 contains 50 feature(s).  The normal administrative level 2 feature type is """"Constituency"""".

Administrative level 3 contains 183 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Recommended cartographic projection:  Oceania

This metadata was last updated on January 13, 2025.",10,50,183,
SOM,https://data.humdata.org/dataset/cod-ab-som,cod-enhanced,OCHA Field Information Services Section (FISS),"Somalia administrative level 0-2 boundaries (COD-AB) dataset.Boundaries established:    1984

NOTE:  In addition to administrative levels 0-2, this dataset includes """"level 1 Operational Zones"""" (OPZ1) and """"level 2 Operational Zones"""" (OPZ2).  17 OPZ1 features within the Banadir administrative level 1 feature are now (as of the January 2025 update) coincident with individual administrative level 2 features.  Two further OPZ1 features within the Banadir administrative level 1 polygon are excluded from the administrative structure and must be named and P-coded as 'unspecified'.  All Operational Zones are not administrative boundaries and are not identified as administrative level 3 features.  The six Federal member states (Somaliland, Puntland, Galmudug, Hirshabelle, South West, and Jubaland) are NOT integrated into the administrative structure.  (Their boundaries cannot be constructed even from administrative level 2 features.)


This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from OCHA Somalia

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Somalia [COD-PS](https://data.humdata.org/dataset/cod-ps-som).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-som).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 18 feature(s).  The normal administrative level 1 feature type is 'Region'.

Administrative level 2 contains 91 feature(s).  The normal administrative level 2 feature type is 'District'.

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 23, 2025.",18,91,,
ZAF,https://data.humdata.org/dataset/cod-ab-zaf,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),"South Africa administrative level 0-4 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-PS caveats about ADM2 - ADM4 nesting ambiguity.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from South African Municipal Demarcation Board

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the South Africa [COD-PS](https://data.humdata.org/dataset/cod-ps-zaf).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 9 feature(s).  The normal administrative level 1 feature type is """"Province"""".

Administrative level 2 contains 52 feature(s).  The normal administrative level 2 feature type is """"District"""".

Administrative level 3 contains 213 feature(s).  The normal administrative level 3 feature type is """"Local municipality"""".

Administrative level 4 contains 4,392 feature(s).  The normal administrative level 4 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",9,52,213,4392
LKA,https://data.humdata.org/dataset/cod-ab-lka,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),"Sri Lanka administrative level 0-4 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2022

NOTE:  COD-AB contains one lake polygon which is not represented int the COD-PS.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Survey Department of Sri Lanka (http://www.survey.gov.lk)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Sri Lanka [COD-PS](https://data.humdata.org/dataset/cod-ps-lka).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 9 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 25 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Administrative level 3 contains 339 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Administrative level 4 contains 14,043 feature(s).  The normal administrative level 4 feature type is """"currently not known"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",9,25,339,14043
SSD,https://data.humdata.org/dataset/cod-ab-ssd,cod-enhanced,OCHA South Sudan,"South Sudan administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2020

NOTE:  Ages disaggregated into only four cohorts.  No COD-PS record for Abyei Region.  See COD-PS caveat about data rounding.
The geoservice layer and the pak_admbndl_admALL_ocha_itos_20230308 lines shapefile contains the following special 'admLevel' codes:

76 = Northern boundary of the disputed area known as the Ilemi Triangle between South Sudan and Kenya (not a boundary fo any administrative polygon)
77 = Remainder of the boundary between South Sudan and Sudan
78 = That part of the Abyei region bouhndary that borders Sudan
79 = That part of the Abyei region boundary that borders the rest of South Sudan (not included in the polygons layers)

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB requires improvements.

Sourced from South Sudan Information Management Working Group (IMWG), National Bureau of Statistics (NBS), International Organization for Migration (IOM) and OCHA

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the South Sudan [COD-PS](https://data.humdata.org/dataset/cod-ps-ssd).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 10 feature(s).  The normal administrative level 1 feature type is """"State"""".

Administrative level 2 contains 79 feature(s).  The normal administrative level 2 feature type is """"County"""".

Administrative level 3 contains 512 feature(s).  The normal administrative level 3 feature type is """"Payam"""".

Recommended cartographic projection:  UTM zone 36 (mainly) but partly zone 35

This metadata was last updated on January 9, 2025.",10,79,512,
SDN,https://data.humdata.org/dataset/cod-ab-sdn,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),"""Sudan administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2013

NOTE:  This COD-AB includes an administrative level 1 feature for the COD-PS has no record for disputed Abyei Area.

This COD-AB was most recently reviewed for accuracy and necessary changes in August 2024.  The COD-AB does not require any update.

Sourced from Information Management Working Group (IMWG), OCHA

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Sudan [COD-PS](https://data.humdata.org/dataset/cod-ps-sdn).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 19 feature(s).  The normal administrative level 1 feature type is """"State"""".

Administrative level 2 contains 189 feature(s).  The normal administrative level 2 feature type is """"Locality"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 9, 2025.""",19,189,,
SUR,https://data.humdata.org/dataset/cod-ab-sur,cod-standard,OCHA Field Information Services Section (FISS),"Suriname administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  Age cohorts include 'unidentified' category.

This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Suriname [COD-PS](https://data.humdata.org/dataset/cod-ps-sur).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 10 feature(s).  The normal administrative level 1 feature type is """"District"""".

Administrative level 2 contains 62 feature(s).  The normal administrative level 2 feature type is """"Resort"""".

Recommended cartographic projection:  South America Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",10,62,,
SWZ,https://data.humdata.org/dataset/cod-ab-swz,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),"Kingdom of Eswatini 2007 administrative level 0-2 boundaries

Vetting by [Information Technology Outreach Services (ITOS)](https://www.uga.edu/) with funding from USAID.

These boundaries are suitable for database or GIS linkage to the [Kingdom of Eswatini - Subnational Population Statistics](https://data.humdata.org/dataset/cod-ps-swz).",4,55,,
SYR,https://data.humdata.org/dataset/cod-ab-syr,cod-enhanced,OCHA Syria,"Syrian Arab Republic administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  1960

NOTE:  The current boundaries were established on an unknown date in the 1960s.

This COD-AB was most recently reviewed for accuracy and necessary changes in April 2024.  The COD-AB does not require any update.

Sourced from United Nations Cartographic Section (UNCS) and partners

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 14 feature(s).  The normal administrative level 1 feature type is """"Governorate"""".

Administrative level 2 contains 62 feature(s).  The normal administrative level 2 feature type is """"District"""".

Administrative level 3 contains 272 feature(s).  The normal administrative level 3 feature type is """"Sub-district"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",14,62,272,
TJK,https://data.humdata.org/dataset/cod-ab-tjk,cod-standard,OCHA Middle East and North Africa (ROMENA),"Tajikistan administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  An overview of the administrative divisions for Tajikistan, including their associated names and unique identifiers (according to the OKATO classification system).   Administrative level 3 (Jamoat) has not been included in this overview, as these have recently changed (geographical boundaries, names and OKATO codes) and it has not been possible to verify the most recent overview.  OCHA's Regional Office for the Caucasus and Central Asia is maintaining a dataset with the geographical boundaries of administrative levels 1 and 2 for preparedness purposes, but is not allowed to make it public. In case of a major humanitarian emergency, this geographical dataset will be shared with humanitarian agencies.

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2024.  The COD-AB requires improvements.

Sourced from Agency on Statistics under President of the Republic of Tajikistan

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Tajikistan [COD-PS](https://data.humdata.org/dataset/cod-ps-tjk).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 5 feature(s).  The normal administrative level 1 feature type is """"Viloyat or Independent Cities"""".

Administrative level 2 contains 76 feature(s).  The normal administrative level 2 feature type is """"Nohiya or Independent Cities"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",5,76,,
TZA,https://data.humdata.org/dataset/cod-ab-tza,cod-standard,OCHA Field Information Services Section (FISS),"Tanzania administrative level 0 (country), 1 (region), 2 (district), and 3 (ward) boundary and line shapefiles, geodatabase

These boundary files are suitable for database or GIS linkage to the [Tanzania administrative level 0-3 population statistics tables](https://data.humdata.org/dataset/cod-ps-tza).

These boundaries reflect the creation of Songwe region (TZ26) in January 2016 from the western half of Mbeya Region.",31,170,3643,
THA,https://data.humdata.org/dataset/cod-ab-tha,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),"Thailand administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2022./1/1

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Royal Thai Survey Department

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Thailand [COD-PS](https://data.humdata.org/dataset/cod-ps-tha).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 77 feature(s).  The normal administrative level 1 feature type is """"Province"""".

Administrative level 2 contains 928 feature(s).  The normal administrative level 2 feature type is """"District"""".

Administrative level 3 contains 7,425 feature(s).  The normal administrative level 3 feature type is """"Sub-district (Tambon)"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",77,928,7425,
TLS,https://data.humdata.org/dataset/cod-ab-tls,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),"Timor-Leste administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2020

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from WHO

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Timor-Leste [COD-PS](https://data.humdata.org/dataset/cod-ps-tls).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 13 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 65 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Administrative level 3 contains 442 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",13,65,442,
TGO,https://data.humdata.org/dataset/cod-ab-tgo,cod-enhanced,OCHA West and Central Africa (ROWCA),"Togo administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  COD-PS ADM2 does not match COD-AB and has therefore not been P-coded.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Global Administrative Unit Layers (GAUL)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Togo [COD-PS](https://data.humdata.org/dataset/cod-ps-tgo).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-tgo).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 5 feature(s).  The normal administrative level 1 feature type is """"Region"""".

Administrative level 2 contains 40 feature(s).  The normal administrative level 2 feature type is """"Prefecture"""".

Administrative level 3 contains 373 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",5,40,373,
TON,https://data.humdata.org/dataset/cod-ab-ton,cod-enhanced,OCHA Office of the Pacific Islands,"Tonga administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2021

NOTE:  OCHA's Regional Office for the Caucasus and Central Asia is maintaining a dataset with the geographical boundaries of administrative levels 1 and 2 for preparedness purposes, but is not allowed to make it public. In case of a major humanitarian emergency, this geographical dataset will be shared with humanitarian agencies.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Secretariat of the Pacific Community, Statistics for Development Division, and Department of Lands.

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Tonga [COD-PS](https://data.humdata.org/dataset/cod-ps-ton).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 5 feature(s).  The normal administrative level 1 feature type is """"Divisition"""".

Administrative level 2 contains 23 feature(s).  The normal administrative level 2 feature type is """"District"""".

Administrative level 3 contains 166 feature(s).  The normal administrative level 3 feature type is """"Village"""".

Recommended cartographic projection:  Oceania

This metadata was last updated on January 13, 2025.",5,23,166,
TTO,https://data.humdata.org/dataset/cod-ab-tto,cod-standard,OCHA Field Information Services Section (FISS),"Trinidad and Tobago administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-PS caveats about Tobago parish treatment.

This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Trinidad and Tobago [COD-PS](https://data.humdata.org/dataset/cod-ps-tto).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 15 feature(s).  The normal administrative level 1 feature type is """"Parish"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",15,,,
TUN,https://data.humdata.org/dataset/cod-ab-tun,cod-enhanced,OCHA Field Information Services Section (FISS),"Tunisia administrative level 0-4 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  

Sourced from Institut National de la Statistique Tunisie

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Tunisia [COD-PS](https://data.humdata.org/dataset/cod-ps-tun).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-tun).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 6 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 24 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Administrative level 3 contains 264 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Administrative level 4 contains 2,084 feature(s).  The normal administrative level 4 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",6,24,264,2084
TUR,https://data.humdata.org/dataset/cod-ab-tur,cod-enhanced,OCHA Field Information Services Section (FISS),"Türkiye administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2024

NOTE:  This dataset was derived in January 2025 from a version now named 'Türkiye - Subnational Administrative Boundaries - RIMWGE' developed but since neglected by the Regional IM Working Group - Europe.  This dataset was modified for compatibility by OCHA FIS.  LIVE GEOSERVICES WILL BE UPDATED SHORTLY.

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2025.  The COD-AB does not require any update.

Sourced from General Command of Mapping (obtained by Regional IM Working Group - Europe)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Türkiye [COD-PS](https://data.humdata.org/dataset/cod-ps-tur).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 81 feature(s).  The normal administrative level 1 feature type is 'Province (İl)'.

Administrative level 2 contains 973 feature(s).  The normal administrative level 2 feature type is 'District (İlçe)'.

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",81,973,,
TCA,https://data.humdata.org/dataset/cod-ab-tca,cod-standard,OCHA Field Information Services Section (FISS),"""Turks and Caicos Islands administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  COD-PS covers only ADM0.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Turks and Caicos Islands [COD-PS](https://data.humdata.org/dataset/cod-ps-tca).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 6 feature(s).  The normal administrative level 1 feature type is """"District"""".

Administrative level 2 contains 30 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 9, 2025.""",6,30,,
UGA,https://data.humdata.org/dataset/cod-ab-uga,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),"""Uganda administrative level 0-4 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from Uganda Bureau of Statistics with support from WHO

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Uganda [COD-PS](https://data.humdata.org/dataset/cod-ps-uga).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 4 feature(s).  The normal administrative level 1 feature type is """"Region"""".

Administrative level 2 contains 135 feature(s).  The normal administrative level 2 feature type is """"District"""".

Administrative level 3 contains 208 feature(s).  The normal administrative level 3 feature type is """"Sub-county, parish, village"""".

Administrative level 4 contains 1,520 feature(s).  The normal administrative level 4 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.""",4,135,208,1520
UKR,https://data.humdata.org/dataset/cod-ab-ukr,cod-enhanced,OCHA Field Information Services Section (FISS),"The actual boundaries were most recently adjusted in:  January 2025.  
Boundary information source:  State Scientific Production Enterprise “Kartographia”.  
Contributor:  OCHA Field Information Services Section (FISS).  
COD-AB quality level:  cod-enhanced (geometry and attributes verified and standardized).  
Most recent COD-AB review conclusion:  The COD-AB does not require any update.  
An edge-matched (COD-EM) dataset is available  
COD-EM HDX link:  https://data.humdata.org/dataset/cod-em-ukr.  
OCHA country status:  Operational (country office).  
Most recent COD-AB review date:  January 2025.  
Deepest administrative level:  ADM4.  
COD-PS HDX URL:  https://data.humdata.org/dataset/cod-ps-ukr.  
Deepest administrative level with complete coverage:  ADM3.  
Administrative level required by humanitarian community:  ADM2.  
Note:  The Ukrainian government has not fully implemented its new administrative structure reforms in the Autonomous Republic of Crimea [UA01] and Sevastopol [UA85].  
Consequently, 31 ADM4 features within the Sevastopol ADM3 polygon retain P-codes that do not correctly conform to [UA85]. This will be rectified in a COD-AB update once the government has regained control of the Crimean Peninsula.  
Note:  Some administrative feature names were adjusted in a September/October 2024 administratrive feature renaming exercise.  See reference table at https://data.humdata.org/dataset/cod-ab-ukr.  
Note:  The Ukraine COD-AB was most recently adjusted in early 2024 - affecting administrative level 3 (hromadas) only.  
Note:  The population statistics common operational dataset (COD-PS-UKR) is only available via special request.  See [Ukraine - Subnational Population Statistics](https://data.humdata.org/dataset/cod-ps-ukr).  Users should use the 'Request Data' button.  
Note:  Limitations of the Ukrainian-to-Russian transliteration method mean that more than one Ukrainian name may be represented by a single Russian feature name.  
Note:  Feature name attribute fields in this dataset incorrectly use 'UA' to represent the Ukrainian language.  The correct language code is 'UK'.  This will be resolved in 2026.  
Note:  ADM0 is not affected by the September/October 2024 administrative feature renaming exercise.  
Typical feature type:  oblast (region) with three exceptions.  
P-code format:  UAnn.  
COD-PS compatibility:  ADM0, ADM1, ADM2.  
OCHA region:  Europe.  
Feature count:  27.  
The ADM1 layer can be linked by P-CODE to the ADM1 Population statistics.  
Note:  Kyiv (city) [UA80] and Sevastopol [UA85] are each a 'city with special status' rather than an 'oblast'.  
Note:  Crimea [UA01] is an 'autonomous republic' rather than an 'oblast'.  
Note:  However, Ukraine Population Statistics are only available on special request.  

ADMINISTRATIVE LEVEL 4 metadata:
Typical feature type:  ADM4 features may be of 'city', 'settlement', or 'village' type.  However, all 'village' features are currently categorized in the 'ADM4_TYPE' as a 'settlement'.  This is expected to be resolved in 2026.  
P-code format:  UAnnnnnnnnnn.  
Feature count:  29707.  
COD-PS compatibility:  no ADM4 population statistics are available.  
COD-PS HDX URL:  https://data.humdata.org/dataset/cod-ps-ukr.  
Note:  329 ADM4 features were affected by the September/October 2024 administrative feature renaming excercise.  
Specific details are provided in the 'ADM4' tab of the 'UKR_Admin234_Renaming_ReferenceTable_20250123.xlsx' reference table available on the HDX dataset [Ukraine - Subnational Administrative Boundaries](https://data.humdata.org/dataset/cod-ab-ukr).  
Note:  The COD-AB ADM4 boundary attributes for this COD-AB have not been adjusted.  
The Ukrainian government has not fully implemented its new administrative structure reforms in the Autonomous Republic of Crimea [UA01] and Sevastopol [UA85].  
Consequently, 31 ADM4 features within the Sevastopol ADM3 polygon retain P-codes that do not correctly conform to [UA85].  This will be rectified in a COD-AB update once the government has regained control of the Crimean Peninsula.  ",27,139,1769,29707
ARE,https://data.humdata.org/dataset/cod-ab-are,cod-enhanced,OCHA Field Information Services Section (FISS),"United Arab Emirates administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  COD-AB contains separate rather than multi-polygon features.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from Federal Competitiveness and Statistics Centre, UAE Ministry of Cabinet Affairs

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-are).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 7 feature(s).  The normal administrative level 1 feature type is 'Emirate'.

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",7,,,
